상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도,url,운영시간,dist
골목카페,,카페,커피 전문점,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 95,서울특별시 종로구 돈화문로9길 17,126.990804480783,37.5716263238049,https://place.map.kakao.com/302469493,[],0.166
잔별,,카페,커피 전문점,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 18-3,서울특별시 종로구 돈화문로10길 14,126.992422773864,37.5725051472624,https://place.map.kakao.com/1095450782,[],0.1669
이디야창덕궁점,,카페,커피 전문점,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 177-1,서울특별시 종로구 돈화문로 41-1,126.991418524306,37.5722623006988,https://place.map.kakao.com/96671839,"['매일', '08:00 ~ 23:30']",0.1699
두커피,,카페,커피 전문점,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 18,서울특별시 종로구 율곡로8길 101,126.991897961587,37.5728070208234,https://place.map.kakao.com/544428036,[],0.2075
꽃휴게실,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 52-1,서울특별시 종로구 종로18길 21,126.991332895932,37.5693782354668,https://place.map.kakao.com/21408979,[],0.209
세운커피숍,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 171,서울특별시 종로구 종로 154-1,126.994728935882,37.5702181410353,https://place.map.kakao.com/19036708,[],0.2137
커피소,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 171,서울특별시 종로구 종로 154-1,126.994728935882,37.5702181410353,https://place.map.kakao.com/1784160455,[],0.2137
황씨네커피집,,카페,커피 전문점,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 102-1,서울특별시 종로구 돈화문로 48,126.991614737543,37.5728226226667,https://place.map.kakao.com/1798554341,"['매일', '08:00 ~ 20:00']",0.2171
커피팡,,카페,커피 전문점,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 10-1,서울특별시 종로구 율곡로10길 105,126.992224277182,37.5729539736493,https://place.map.kakao.com/20304514,[],0.2181
예,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 12-4,서울특별시 종로구 서순라길 55,126.992994108808,37.5729515327297,https://place.map.kakao.com/876123982,"['월,수,목,금', '11:00 ~ 23:00', '토,일', '12:00 ~ 23:00', '화', '11:00 ~ 17:00']",0.2203
오후,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 195-4,서울특별시 종로구 돈화문로5길 36,126.989990234673,37.5707273289257,https://place.map.kakao.com/16983102,[],0.2249
좋은날,,카페,커피 전문점,종로1.2.3.4가동,장사동,서울특별시 종로구 장사동 199-1,서울특별시 종로구 종로22길 25,126.993656629452,37.569145775265,https://place.map.kakao.com/719860329,[],0.23
등선재,,카페,커피 전문점,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 75-2,서울특별시 종로구 수표로26길 16-3,126.990029918079,37.5719801162372,https://place.map.kakao.com/608922241,"['매일', '11:00 ~ 21:00', '이용시 주의 사항', '설날, 추석 당일 휴무']",0.2445
투썸플레이스종로,3가역점,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 197-2,서울특별시 종로구 수표로 106,126.989537234367,37.5707414731571,https://place.map.kakao.com/19615597,"['월~목', '08:00 ~ 22:00', '금', '08:00 ~ 23:00', '토', '09:00 ~ 23:00', '일', '09:00 ~ 22:00', '공휴일', '09:00 ~ 22:00']",0.2643
까페오렌지,,카페,커피 전문점,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 20,서울특별시 종로구 수표로 96,126.990004104293,37.569700259994,https://place.map.kakao.com/16961708,[],0.2649
카페주니,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 176,서울특별시 종로구 수표로 112,126.989372682373,37.5711905853505,https://place.map.kakao.com/1455881127,[],0.2779
올림픽,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 172,서울특별시 종로구 수표로 114,126.989392276834,37.5714160134822,https://place.map.kakao.com/15750159,[],0.2792
커피온리종로,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 103-2,서울특별시 종로구 수표로 98,126.989582145443,37.569930920035,https://place.map.kakao.com/711620744,"['월~금', '07:00 ~ 19:00', '토,일', '11:00 ~ 19:00', '공휴일', '11:00 ~ 19:00']",0.285
북촌빙수,,카페,커피 전문점,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 18,서울특별시 종로구 돈화문로11다길 15,126.990536247607,37.5730476759366,https://place.map.kakao.com/1464651629,"['화~일', '13:00 ~ 18:00', '(재료소진시 조기마감)', '화~일 라스트오더', '~ 17:30', '휴무일', '월요일']",0.2864
부티크상점,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 18,서울특별시 종로구 돈화문로11다길 15,126.990536247607,37.5730476759366,https://place.map.kakao.com/1924435540,[],0.2864
이슈,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 203,서울특별시 종로구 수표로 107-1,126.989207280962,37.5708647942734,https://place.map.kakao.com/12920922,[],0.2922
이디야탑골공원점,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 205,서울특별시 종로구 수표로 109-1,126.989182694849,37.5710087504096,https://place.map.kakao.com/25493284,"['월,화,수,목,금,일', '09:00 ~ 22:00', '(주말 및 공휴일에는 변경될 수 있습니다.)', '토', '09:00 ~ 23:00', '(주말 및 공휴일에는 변경될 수 있습니다.)']",0.2939
커피지원,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 15,서울특별시 종로구 수표로 90-1,126.989759472237,37.5693737917317,https://place.map.kakao.com/2132808170,[],0.3034
오타르,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 169-2,서울특별시 종로구 수표로28길 27,126.990062054751,37.5729535159087,https://place.map.kakao.com/215379134,"['매일', '10:00 ~ 22:00']",0.3061
익선통하다,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 168-4,서울특별시 종로구 수표로28길 29,126.990118042747,37.5729990469546,https://place.map.kakao.com/582705364,"['매일', '12:00 ~ 22:00', '공휴일', '12:00 ~ 22:00']",0.3063
헤리티지클럽,,카페,커피 전문점,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 1-1,서울특별시 종로구 서순라길 75,126.992450936147,37.5737758561305,https://place.map.kakao.com/1163285034,"['매일', '12:00 ~ 23:00', '휴무일', '설당일', '추석당일', '1월1일', '이용시 주의 사항', '@heritage_clubb\xa0', '운영시간 변경 / 공지 등은 인스타그램 참고 해 주세요!']",0.308
노네임청명,,카페,커피 전문점,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 125-1,서울특별시 종로구 청계천로 117,126.990732139981,37.5685982048438,https://place.map.kakao.com/514099356,[],0.3106
탑골,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 39,서울특별시 종로구 종로17길 12,126.988979927848,37.570934930706,https://place.map.kakao.com/8625328,"['매일', '09:00 ~ 18:00', '(동절기(11월~2월 09:00~17:00))']",0.3119
파스쿠찌종로2가점,,카페,커피 전문점,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 3-1,서울특별시 종로구 수표로 95,126.989312685638,37.5697664258809,https://place.map.kakao.com/20481068,"['월~목', '07:00 ~ 23:00', '금~일', '07:00 ~ 02:00']",0.3143
