상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도,url,운영시간
꽃휴게실,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 52-1,서울특별시 종로구 종로18길 21,126.991332895932,37.5693782354668,https://place.map.kakao.com/21408979,[]
불라여행카페,,카페,커피 전문점,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 22-2,서울특별시 종로구 종로 85-1,126.987107571545,37.5704323180944,https://place.map.kakao.com/12072531,"['매일', '11:00 ~ 23:59', '이용시 주의 사항', '연중무휴']"
커피친구,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 58,서울특별시 종로구 삼봉로 81,126.981794436761,37.5723869222964,https://place.map.kakao.com/8103051,"['월~금', '10:00 ~ 21:00', '토', '12:00 ~ 17:30', '휴무일', '일요일']"
차향가,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 181-1,서울특별시 종로구 인사동길 25,126.986042377259,37.5730181725924,https://place.map.kakao.com/9435926,[]
지대방,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 196-6,서울특별시 종로구 인사동길 33,126.985492819895,37.573472981884,https://place.map.kakao.com/12611451,"['월~토', '10:30 ~ 22:30', '일', '10:30 ~ 22:00', '공휴일', '10:30 ~ 22:00']"
홍매,,카페,커피 전문점,종로1.2.3.4가동,권농동,서울특별시 종로구 권농동 187-18,서울특별시 종로구 율곡로10길 83,126.991680974621,37.5737873027599,https://place.map.kakao.com/22399766,[]
전통다원,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 30-1,서울특별시 종로구 인사동10길 11-4,126.985704176209,37.5745830783669,https://place.map.kakao.com/8199463,"['매일', '10:00 ~ 18:00', '휴무일', '설전날', '설당일', '설다음날', '추석전날', '추석당일', '추석다음날', '1월1일']"
승리,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,장사동,서울특별시 종로구 장사동 31,서울특별시 종로구 종로22길 8-4,126.99300224524,37.5698249871248,https://place.map.kakao.com/9188079,[]
흐린세상건너기,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 84-20,서울특별시 종로구 인사동14길 20,126.985168247715,37.574866805319,https://place.map.kakao.com/10962703,"['매일', '12:00 ~ 24:00']"
한옥,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 64,서울특별시 종로구 인사동12길 9,126.984775733489,37.5745931180603,https://place.map.kakao.com/467710256,[]
상록,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 236-1,서울특별시 종로구 종로17길 52,126.988541022466,37.5724178893406,https://place.map.kakao.com/15593676,[]
베버리지랩,,카페,커피 전문점,종로1.2.3.4가동,청진동,서울특별시 종로구 청진동 62-2,서울특별시 종로구 종로7길 29-4,126.98163286912,37.5717818312406,https://place.map.kakao.com/96750001,[]
담쟁이집,,카페,커피 전문점,종로1.2.3.4가동,견지동,서울특별시 종로구 견지동 82,서울특별시 종로구 인사동11길 20,126.983630941718,37.5738624345393,https://place.map.kakao.com/1146410842,"['월~토', '11:00 ~ 19:00', '휴무일', '일요일']"
하노이의아침,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 188-4,서울특별시 종로구 인사동5길 11,126.985639894293,37.572645288021,https://place.map.kakao.com/15250809,[]
브루다종로구청,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 156,서울특별시 종로구 삼봉로 71,126.981100163919,37.5726602546037,https://place.map.kakao.com/2012438838,"['월~금', '07:00 ~ 17:00', '휴무일', '토,일요일', '공휴일']"
레아,,카페,커피 전문점,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 155-12,서울특별시 종로구 인사동길 51,126.983926527104,37.5746038324914,https://place.map.kakao.com/10356641,"['월~토', '10:00 ~ 20:00', '일', '13:00 ~ 18:00']"
썬비,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 198-11,서울특별시 종로구 인사동7길 26,126.984751126326,37.5730701474244,https://place.map.kakao.com/14808423,[]
그라피,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 18-3,서울특별시 종로구 우정국로2길 41,126.985374732997,37.5696605626435,https://place.map.kakao.com/862082633,[]
예,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 12-4,서울특별시 종로구 서순라길 55,126.992994108808,37.5729515327297,https://place.map.kakao.com/876123982,"['월,수,목,금', '11:00 ~ 23:00', '토,일', '12:00 ~ 23:00', '화', '11:00 ~ 17:00']"
파스쿠찌종로2가점,,카페,커피 전문점,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 3-1,서울특별시 종로구 수표로 95,126.989312685638,37.5697664258809,https://place.map.kakao.com/20481068,"['월~목', '07:00 ~ 23:00', '금~일', '07:00 ~ 02:00']"
커피스토리,,카페,커피 전문점,종로1.2.3.4가동,종로4가,서울특별시 종로구 종로4가 167-1,서울특별시 종로구 종로 198,126.999557153912,37.570628584387,https://place.map.kakao.com/13068364,[]
